# 文本key,文本value
Attitude_Source_Desc_13,<AttiSource>Получил выгоду от обмена</>
Attitude_Source_Desc_14,<AttiSource>Потеря в обмене</>
Attitude_Source_Desc_15,<AttiSource>Навык Цинь:Наивный</>
Attitude_Source_Desc_16,<AttiSource>Навык Цинь:Новичок</>
Attitude_Source_Desc_17,<AttiSource>Навык Цинь:Гун</>
Attitude_Source_Desc_18,<AttiSource>Навык Цинь:Шан</>
Attitude_Source_Desc_19,<AttiSource>Цинь Навык:Jue</>
Attitude_Source_Desc_2,<AttiSource>Скрытность обнаружен</>
Attitude_Source_Desc_20,<AttiSource>Навык Цинь:Чжи</>
Attitude_Source_Desc_21,<AttiSource>Легендарное снаряжение</>
Attitude_Source_Desc_22,<AttiSource>Тряпки</>
Attitude_Source_Desc_23,<AttiSource>Красивый внешний вид</>
Attitude_Source_Desc_24,<AttiSource>Уродливый Внешний вид</>
Attitude_Source_Desc_25,<AttiSource>Отключено</>
Attitude_Source_Desc_26,<AttiSource>Богатство</>
Attitude_Source_Desc_27,<AttiSource>Богатство</>
Attitude_Source_Desc_28,<AttiSource>Сила</>
Attitude_Source_Desc_29,<AttiSource>Сила</>
Attitude_Source_Desc_3,<AttiSource>Руки в Крови: Резня</>
Attitude_Source_Desc_30,<AttiSource>Идентичность</>
Attitude_Source_Desc_31,<AttiSource>Идентичность</>
Attitude_Source_Desc_32,<AttiSource>Идентичность</>
Attitude_Source_Desc_33,<AttiSource>Враг врага — друг</>
Attitude_Source_Desc_34,<AttiSource>Друг врага — враг</>
Attitude_Source_Desc_35,<AttiSource>Руки в Крови: Правосудие</>
Attitude_Source_Desc_36,<AttiSource>Руки в Крови: Месть</>
Attitude_Source_Desc_37,<AttiSource>Руки в Крови: Грешник</>
Attitude_Source_Desc_38,<AttiSource>Репутация</>
Attitude_Source_Desc_4,<AttiSource>Добыча</>
Attitude_Source_Desc_5,<AttiSource>Взлом</>
Attitude_Source_Desc_52,<AttiSource>Получили что-то
Attitude_Source_Desc_53,<AttiSource>Поделиться нравится</>
Attitude_Source_Desc_55,<AttiSource>Спар</>
Attitude_Source_Desc_56,<AttiSource>Получен навык</>
Attitude_Source_Desc_57,<AttiSource>Получен внутренний кунгфу</>
Attitude_Source_Desc_58,<AttiSource>Получен навык</>
Attitude_Source_Desc_59,<AttiSource>Неприятно</>
Attitude_Source_Desc_6,<AttiSource>Преступление</>
Attitude_Source_Desc_60,<AttiSource>Неприятно（Привязанность）</>
Attitude_Source_Desc_61,<AttiSource>Могущественный убийственный</>
Attitude_Source_Desc_62,<AttiSource>убийственный взгляд</>
Attitude_Source_Desc_63,<AttiSource>Сильный убийственный</>
Attitude_Source_Desc_64,<AttiSource>Узнал твой прозвище</>
Attitude_Source_Desc_7,<AttiSource>Поджог</>
Attitude_Source_Desc_8,<AttiSource>Пьяный</>
Attitude_Source_Desc_9,<AttiSource>Умолять</>
Attitude_Source_Desc_SP_1,<AttiSource>Нелюбовник</>
Attitude_Source_Desc_SP_10,<AttiSource>Способность приручения</>
Attitude_Source_Desc_SP_2,<AttiSource>Кровать занята</>
Attitude_Source_Desc_SP_2000,<AttiSource>Обмен</>
Attitude_Source_Desc_SP_2001,<AttiSource>Излечение недуга</>
Attitude_Source_Desc_SP_2002,<AttiSource>Меня шантажировали</>
Attitude_Source_Desc_SP_2003,<AttiSource>Проявлено милосердие</>
Attitude_Source_Desc_SP_2004,<AttiSource>Исцелился</>
Attitude_Source_Desc_SP_2005,<AttiSource>Попал в нокаут</>
Attitude_Source_Desc_SP_2006,<AttiSource>Отключено</>
Attitude_Source_Desc_SP_2007,<AttiSource>Кунгфу было уничтожено</>
Attitude_Source_Desc_SP_2008,AttiSource>Плохо с ними обращались</>
Attitude_Source_Desc_SP_2009,<AttiSource>Помогал в сборке</>
Attitude_Source_Desc_SP_2010,<AttiSource>Битва</>
Attitude_Source_Desc_SP_2011,<AttiSource>Приглашен для развлечений</>
Attitude_Source_Desc_SP_2012,<AttiSource>Поделился тостом</>
Attitude_Source_Desc_SP_2013,<AttiSource>Плохой пример</>
Attitude_Source_Desc_SP_2014,<AttiSource>Дает</>
Attitude_Source_Desc_SP_2016,<AttiSource>Идентификация</>
Attitude_Source_Desc_SP_2017,<AttiSource>Вылечил их состояние</>
Attitude_Source_Desc_SP_2018,<AttiSource>Вылечил их негативную реакцию</>
Attitude_Source_Desc_SP_2019,<AttiSource>Пощадил их имущество</>
Attitude_Source_Desc_SP_2020,<AttiSource>Избавил их от негатива</>
Attitude_Source_Desc_SP_2021,<AttiSource>Обучал кунг-фу своих подчиненных</>
Attitude_Source_Desc_SP_2022,<AttiSource>Учил кунг-фу своих отрицательных родственников</>
Attitude_Source_Desc_SP_2023,AttiSource>Искалечил их возможности</>
Attitude_Source_Desc_SP_2024,<AttiSource>Искалечил их негативное отношение</>
Attitude_Source_Desc_SP_2025,<AttiSource>Лишил их негативного отношения к кунг-фу</>
Attitude_Source_Desc_SP_2026,<AttiSource>Лишил их возможности заниматься кунг-фу</>
Attitude_Source_Desc_SP_2027,<AttiSource>Отрубил голову их родственнику</>
Attitude_Source_Desc_SP_2028,<AttiSource>Отрубил голову их противнику</>
Attitude_Source_Desc_SP_2029,<AttiSource>Разграбил их магазин</>
Attitude_Source_Desc_SP_2030,<AttiSource>Разграбил их негативную информацию</>
Attitude_Source_Desc_SP_2031,<AttiSource>Разграблено</>
Attitude_Source_Desc_SP_2032,<AttiSource>Предлагайте деньги</>
Attitude_Source_Desc_SP_2033,<AttiSource>Предлагал деньги своим клиентам</>
Attitude_Source_Desc_SP_2034,<AttiSource>Предлагал деньги их отрицательному родственнику</>
Attitude_Source_Desc_SP_2035,<AttiSource>Приключение :</>
Attitude_Source_Desc_SP_2038,<AttiSource>Аукцион</>
Attitude_Source_Desc_SP_2039,<Источник доступа>Лента</>
Attitude_Source_Desc_SP_2040,AttiSource>Небольшая вражда</>
Attitude_Source_Desc_SP_2041,<AttiSource>Обида</>
Attitude_Source_Desc_SP_2042,<AttiSource>Вражда</>
Attitude_Source_Desc_SP_2043,<AttiSource>Собратья-ученики</>
Attitude_Source_Desc_SP_2044,<AttiSource>Мастер и слуга</>
Attitude_Source_Desc_SP_2045,<AttiSource>Вызов членов секты</>
Attitude_Source_Desc_SP_2046,<AttiSource>Те
Attitude_Source_Desc_SP_2047,<AttiSource>Те
Attitude_Source_Desc_SP_2048,<AttiSource>Влияние дипломатии</>
Attitude_Source_Desc_SP_2049,<AttiSource>Задержка зарплаты</>
Attitude_Source_Desc_SP_2050,<AttiSource>Пленник разыскиваемый преступник</>
Attitude_Source_Desc_SP_2051,<AttiSource>Токсин обиды</>
Attitude_Source_Desc_SP_2052,<AttiSource>Таблетка недовольства</>
Attitude_Source_Desc_SP_2053,<AttiSource>Трансцендентность</>
Attitude_Source_Desc_SP_2054,<AttiSource>Неприязнь к гуманоидному полюсу</>
Attitude_Source_Desc_SP_2055,<AttiSource>Нарушение правил</>
Attitude_Source_Desc_SP_2056,<AttiSource>Вспыльчивый характер</>
Attitude_Source_Desc_SP_2057,<AttiSource>Высокомерный характер</>
Attitude_Source_Desc_SP_3,AttiSource>Предал первоначальную секту</>
Attitude_Source_Desc_SP_3000,<AttiSource>Выигранные споры</>
Attitude_Source_Desc_SP_4,<AttiSource>Кровавая вражда</>
Attitude_Source_Desc_SP_5,<AttiSource>Родословная</>
Attitude_Source_Desc_SP_6,<AttiSource>Близость</>
Attitude_Source_Desc_SP_7,<AttiSource>Дорогие друзья</>
Attitude_Source_Desc_SP_8,<AttiSource>Неприязненные отношения</>
Attitude_Source_Desc_SP_9,<AttiSource>Безоговорочное наставничество</>
Attitude_Source_Desc_SP_99998,<AttiSource>Конечное отношение</>
Attitude_Source_Desc_SP_99999,<AttiSource>Конечное отношение</>
Attitude_type_0,Позитивное отношение
Attitude_type_1,Негативное отношение
Attitude_type_2,Нейтральное отношение
BegMercyPanel_Beg,Умолять о пощаде
BegMercyPanel_Forgive,Отпустите парня
BegMercyPanel_NoBeg,Никогда не сдавайтесь
BegMercyPanel_NoForgive,Преподай парню урок
BegMercy_Enemy_Dialog,"Воин, это все твое. Пожалуйста, отпусти меня..."
BegMercy_Player_Accept,"Возьми то, что он дал, и отпусти его"
BegMercy_Player_Beg,Умолять о пощаде
BegMercy_Player_Continue,Сражайся насмерть
BegMercy_Player_Dialog,"Воин, пожалуйста, отпусти меня..."
BegMercy_Player_Give_Enough,Вы можете идти!
BegMercy_Player_Give_Litile,"Вы действительно думаете, что это может спасти вашу жизнь? Этого недостаточно!"
BegMercy_Player_Refuse,Ухмыльнись и подними свой клинок
BegMercy_Player_Take_Little,"Вы так добры! Пожалуйста, возьмите его."
BegMercy_Player_Take_None,"Пожалуйста, отпустите меня. Я принимаю ваше наказание."
BegMercy_Player_Take_Overnum,Вы просите слишком многого! Я отказываюсь! !!
BegMercy_Tutorial_Enemy_Dialog,Воин
Behavior_Name_1,Движение
Behavior_Name_100,Рубить дерево
Behavior_Name_101,Собирать травы
Behavior_Name_2,Ход битвы
Big_Gate,Большой через
Big_Map_CheckBox1,Ресурс области
Big_Map_CheckBox2,Зона влияния
Big_Map_CheckBox3,Прогресс расширения
Big_Map_KeyTips1,Отметка
Big_Map_KeyTips2,Мобильный курсор
Big_Map_KeyTips3,Мобильная карта
Big_Map_Replace,Переставить
Black_Desc_Gong_Ren,"{0} затаил дыхание и сосредоточился, поднял нож и уронил его. После раската грома, прозвучавшего в небе, {1} стал неполным человеком…"
Btn_Name_1,Молиться о дожде
Btn_Name_10,Сесть
Btn_Name_100,Янь Ло
Btn_Name_10000,Больше вариантов
Btn_Name_100000,Практиковать технику Кунгфу до уровня мудреца
Btn_Name_100001,Навык Обучения
Btn_Name_10001,Уйти
Btn_Name_10002,Назад
Btn_Name_101,Фу Цзюнь
Btn_Name_103,Просмотр каменной стелы
Btn_Name_104,Схватить яблоки
Btn_Name_105,Опубликовать убийство
Btn_Name_106,Открыть секретный проход
Btn_Name_107,Закрыть секретный проход
Btn_Name_108,Поклониться мертвым
Btn_Name_109,Варить
Btn_Name_11,Тренировка
Btn_Name_110,Варить: Особый Цзюцюй
Btn_Name_111,Варить: Первый Цзюцюй
Btn_Name_112,Варить: Второй Цзюцюй
Btn_Name_113,Забрать вино
Btn_Name_115,Небесное ремесло
Btn_Name_117,Пригласить
Btn_Name_118,Проверить карму
Btn_Name_12,Пить вино
Btn_Name_120,Уборка могил
Btn_Name_13,Напиток: хорошее вино
Btn_Name_13_f,Пить вино
Btn_Name_14,Отдохнуть
Btn_Name_15,Потушить
Btn_Name_16,Разжечь
Btn_Name_17,Играть на инструменте
Btn_Name_18,Зажечь
Btn_Name_19,Насладиться источником
Btn_Name_2,Молитесь за сильный снегопад
Btn_Name_20,Слушать музыку
Btn_Name_20001,Информация о герое
Btn_Name_20002,Инвентарь
Btn_Name_20003,Связь
Btn_Name_20004,Социальность
Btn_Name_20005,Система
Btn_Name_20006,Автобиография
Btn_Name_20007,Спрыгнуть
Btn_Name_20008,Завершение соревнований по боевым искусствам「Антизастревание」 
Btn_Name_20009,Вылить воду
Btn_Name_20010,Не использовать скрытое оружие
Btn_Name_20011,Перепрыгнуть
Btn_Name_20012,Управлять питомцами
Btn_Name_21,Ожидать лечения
Btn_Name_21000,Снаряжение
Btn_Name_21001,Навыки
Btn_Name_21002,Из дворца
Btn_Name_21003,Способность
Btn_Name_21004,Медитировать
Btn_Name_21005,Охота за сокровищами
Btn_Name_21006,Орлиный глаз
Btn_Name_21007,Красться
Btn_Name_21008,Не скрываться
Btn_Name_21009,Прекратить обзор
Btn_Name_21010,Попрошайничать
Btn_Name_21011,Конец подписки
Btn_Name_21012,Выпустить
Btn_Name_21013,Выпуск「{0}」 
Btn_Name_21014,Снять ночную одежду
Btn_Name_21016,Опубликовать уведомление о смерти
Btn_Name_21017,Кристаллизация ледяного нефрита
Btn_Name_21018,Имплантация червя
Btn_Name_22,Рубить
Btn_Name_23,Конечная производительность
Btn_Name_24,Сыграть произведение
Btn_Name_25,Есть
Btn_Name_26,Сбор трав
Btn_Name_27,Добыча
Btn_Name_28,Присесть
Btn_Name_29,Охота за сокровищами
Btn_Name_3,Молитесь о солнечных днях
Btn_Name_30000,Действия
Btn_Name_30001,Просить
Btn_Name_30002,Помощь
Btn_Name_30003,Поговорить
Btn_Name_30004,Смотреть
Btn_Name_30005,Положить
Btn_Name_31000,Торговля
Btn_Name_31001,Битва
Btn_Name_31002,Дать подарок
Btn_Name_31003,Присоединяйтесь к секте
Btn_Name_31004,Выйти из секты
Btn_Name_31005,Покормить
Btn_Name_31006,Спаринг
Btn_Name_31007,Похоронить
Btn_Name_31008,Разбудить
Btn_Name_31009,Следовать
Btn_Name_31010,Следуй за мной
Btn_Name_31011,Попроси его уйти
Btn_Name_31012,Обыскать
Btn_Name_31013,Поручить ему
Btn_Name_31014,Лечить скрытые болезни
Btn_Name_31015,Обучить тебя навыку
Btn_Name_31016,Отмена боевых искусств
Btn_Name_31017,Применить навык
Btn_Name_31018,Нести на плече
Btn_Name_31019,Обезглавить
Btn_Name_31020,Посмотреть отношения
Btn_Name_31021,От звезды к звезде
Btn_Name_31022,Объедениться
Btn_Name_31023,Ознакомиться с учением
Btn_Name_31024,Ознакомиться с внутренним искусством
Btn_Name_31025,Изучить боевое искусство школы
Btn_Name_31026,Вырезать ребенка
Btn_Name_31027,Узнать биографию
Btn_Name_31028,Люби своего ребенка
Btn_Name_31029,спасение
Btn_Name_31031,Метка орла「Следить」 
Btn_Name_31032,Отметить как врага
Btn_Name_31033,Приглашаю в секту
Btn_Name_31034,Испытание
Btn_Name_31035,Отравление
Btn_Name_31036,Верность Цзиньланю
Btn_Name_31037,Жениться
Btn_Name_31038,Обучить навыку
Btn_Name_31039,Отравление змеи
Btn_Name_31040,Отмычка (Змея)
Btn_Name_31041,Маска для растираний
Btn_Name_31042,Рейд
Btn_Name_31043,Запугивание
Btn_Name_31044,Дуэль с токсинами
Btn_Name_31045,Следуй за мной
Btn_Name_31046,Приглашаю в секту
Btn_Name_31047,Добавить новую комиссию
Btn_Name_31048,Квесты
Btn_Name_31050,Отменить приглашение
Btn_Name_31051,Милостыня
Btn_Name_31052,Лечить
Btn_Name_31053,Словесная дуэль
Btn_Name_31054,"Приключение  <Img id=""task_event_btn_tips"" width=""40"" height=""40""/>"
Btn_Name_31055,Заказ на ковку
Btn_Name_31056,Гадание
Btn_Name_31057,Гадание на счастье
Btn_Name_31058,Гадание на богатство
Btn_Name_31059,Боевое гадание
Btn_Name_31060,Создать человекоподобный шест
Btn_Name_31061,Освободить человекоподобный шест
Btn_Name_31062,Пить кровь
Btn_Name_31063,Увещевать
Btn_Name_31065,Поединок зверей
Btn_Name_31066,Дайте предмет
Btn_Name_31067,Отправить питомца
Btn_Name_32,Создать оружее
Btn_Name_32000,Как вступить в секту
Btn_Name_32001,Кто сегодня является лучшим Мастером боевых искусств в мире
Btn_Name_32002,"Знаешь ли ты, где сокровище?"
Btn_Name_32003,Когда пройдет конференция по боевым искусствам?
Btn_Name_32004,Как лечить скрытые заболевания?
Btn_Name_32005,Как заработать деньги?
Btn_Name_32006,Как можно быть непобедимым?
Btn_Name_32007,Как легко добиться большого успеха?
Btn_Name_32008,Ваши симпатии и антипатии
Btn_Name_33,Разрушить
Btn_Name_34,Спрятаться внутри
Btn_Name_35,Подобрать
Btn_Name_36,Демонтаж
Btn_Name_37,Войти в клетку
Btn_Name_38,Разблокировать
Btn_Name_39,Посадить
Btn_Name_4,Молиться о браке
Btn_Name_40,Собрать урожай
Btn_Name_40000,Бой
Btn_Name_400000,Получите все секретные [читы]
Btn_Name_40001,Оседлать
Btn_Name_40002,Спешиться*****
Btn_Name_40005,Открыть рюкзак
Btn_Name_40006,Умолять
Btn_Name_40007,Следовать
Btn_Name_40008,Пауза
Btn_Name_41,Постигать
Btn_Name_41003,Переоборудовать каретку
Btn_Name_41004,Приручить
Btn_Name_41009,Изменить имя
Btn_Name_41010,Кормить
Btn_Name_41011,Освободить
Btn_Name_41012,Разобрать каретку
Btn_Name_41013,Собрать
Btn_Name_41014,Остановить сбор
Btn_Name_42,Посадить Крапиву
Btn_Name_43,Копать
Btn_Name_44,Приготовление яда
Btn_Name_45,Захватить
Btn_Name_46,Приготовить препараты
Btn_Name_47,Создать одежду
Btn_Name_48,Создать скрытое оружие
Btn_Name_5,Молитесь за будущие поколения
Btn_Name_50,Выкопать сокровища
Btn_Name_50000,「Главный зал」 
Btn_Name_500000,Открыть новые территории
Btn_Name_50001,[Резиденция]
Btn_Name_50002,「Склад」 
Btn_Name_50003,「Комната для тренировок」 
Btn_Name_50004,[Клиника]
Btn_Name_50005,「горячий источник」 
Btn_Name_50006,「Кузнечная мастерская」 
Btn_Name_50007,「Таверна」 
Btn_Name_50007_f,Таверна
Btn_Name_50008,「Павильон」 
Btn_Name_50009,「Музыкальная школа」 
Btn_Name_50009_f,Трактир
Btn_Name_50010,「Ткачевня」 
Btn_Name_50011,[Стойла]
Btn_Name_50012,[Загон для животных]
Btn_Name_50013,「Пруд жизни и смерти」 
Btn_Name_50014,「Пруд Золотой Вороны」 
Btn_Name_50015,「Павильон Фэй Лю」 
Btn_Name_50016,「Дартс корт」 
Btn_Name_50017,「Павильон Фэнъинь」 
Btn_Name_50018,「Тюрьма」 
Btn_Name_50019,[Храм Городского Бога]
Btn_Name_50020,「Снежная платформа」 
Btn_Name_50021,[Ферма]
Btn_Name_50022,「Бандитское логово」 
Btn_Name_50024,「Флаг секты」 
Btn_Name_50025,「Периферийные устройства」 
Btn_Name_50026,「Охотничий домик」 
Btn_Name_50027,「Домик лесоруба」 
Btn_Name_50028,「Шахтерский дом」 
Btn_Name_50029,「Рыбацкий коттедж」 
Btn_Name_50030,「Княжеский гвардейский лагерь」 
Btn_Name_51,Помощь
Btn_Name_52,Справка:{0}
Btn_Name_53,Начать конференцию по боевым искусствам
Btn_Name_54,Проверить время конференции по боевым искусствам
Btn_Name_55,Купить
Btn_Name_56,Украсть
Btn_Name_57,Открыть станцию
Btn_Name_58,Посадить Солодку
Btn_Name_59,Посадить Женьшень
Btn_Name_6,Жечь благовония
Btn_Name_60,Посадить Орхидеи
Btn_Name_60000,Открыть дверь
Btn_Name_60001,Строить
Btn_Name_60002,Разблокировать
Btn_Name_60003,Срывать
Btn_Name_60004,Разрушить
Btn_Name_60005,Изменить имя
Btn_Name_60006,Личный доступ
Btn_Name_60007,Доступен для всех
Btn_Name_60008,Ремонт здания
Btn_Name_60009,Постучать в дверь
Btn_Name_60010,Заключить в тюрьму
Btn_Name_60011,Демонтировать
Btn_Name_60013,Задать вопрос о покупке
Btn_Name_60014,Ремонт
Btn_Name_60015,Начать бизнес
Btn_Name_60016,Закрыть бизнес
Btn_Name_60017,Модернизация
Btn_Name_60018,Управление и построение
Btn_Name_60019,Выбор выхода
Btn_Name_60021,Выбор источника материала
Btn_Name_60022,Выбор продукта
Btn_Name_60023,Труд
Btn_Name_60024,Просмотр формулы
Btn_Name_60025,Выпуск
Btn_Name_60026,Использовать материалы из инвентаря
Btn_Name_60027,Использовать материалы из хранилища
Btn_Name_61,Посадить Подснежники
Btn_Name_62,Посадить Кишью
Btn_Name_63,Посадить Буддлеи
Btn_Name_64,Готовка
Btn_Name_66,Закрыть клетку
Btn_Name_67,Вещи для продажи
Btn_Name_68,Положить на кровать
Btn_Name_7,Пожертвовать деньги
Btn_Name_70,Поставить горячий источник
Btn_Name_70000,Изучать
Btn_Name_70001,Пропустить время
Btn_Name_70003,Приобрести мнемонику
Btn_Name_71,"Пожалуйста, примите ванну"
Btn_Name_72,"Пожалуйста, выпейте"
Btn_Name_73,"Пожалуйста, послушайте музыку"
Btn_Name_74,Давайте выпьем вместе!
Btn_Name_75,Гарнизон
Btn_Name_76,Покинуть гарнизон
Btn_Name_78,Хранилище
Btn_Name_79,Прекратить прятаться
Btn_Name_8,Кража благовоний
Btn_Name_80,Стать собственником
Btn_Name_80000,Войти в маленький мир
Btn_Name_80001,Вернуться к Карме
Btn_Name_80002,Настройки
Btn_Name_80003,Выйти из игры
Btn_Name_80004,Случайная внешность
Btn_Name_81,Поклонение
Btn_Name_82,Набрать ведро воды
Btn_Name_83,Пленить
Btn_Name_84,Удобрять
Btn_Name_85,Копировать
Btn_Name_86,Полить
Btn_Name_87,Разрушить тюрьму
Btn_Name_88,Открыть Тяньмэнь
Btn_Name_9,Хранилище
Btn_Name_90,Спать вместе с....
Btn_Name_90000,Применить Тысячи ядовитых рук
Btn_Name_90001,Применить Пылающий клинок
Btn_Name_90002,Применить Ледяную пальму
Btn_Name_90003,Применить Пение под вином
Btn_Name_90004,Применить Буйство зверей
Btn_Name_90005,Применить Застольную песню
Btn_Name_90006,Применить Реквием
Btn_Name_90007,Применить Тысячи ядовитых паучьих лап
Btn_Name_90008,Применить Вангба Цюань
Btn_Name_90009,Применить Блок акупунктурных точек
Btn_Name_90010,Используйте магическое заклинание
Btn_Name_91,Ремонт
Btn_Name_91000,Дворцовая мелодия
Btn_Name_91001,Шан Тао
Btn_Name_91002,Угловой тон
Btn_Name_91003,Хуэй мелодия
Btn_Name_91004,Перьевой тон
Btn_Name_92,Выбей дверь
Btn_Name_93,повышение статуса
Btn_Name_94,Проверьте черный список
Btn_Name_95,плен
Btn_Name_96,Обмен предметами
Btn_Name_97,Статус продвижения
Btn_Name_98,Разница Инь
Btn_Name_99,Общее суждение
Btn_Name_Strun_Disable,{0} <MgRed>Требуется「{1}」 для достижения {2}</>
BuildCreate_Camera_Far,Расстояние камеры
BuildCreate_ChangeMode,Переключить режим
BuildCreate_ChoseGate,выбрать городские ворота
BuildCreate_ChoseWall,Установить городскую стену
BuildCreate_Confirm_-1_0,Поднять объект
BuildCreate_Confirm_-1_1,Установить объект
BuildCreate_Confirm_0_0,Установить пол
BuildCreate_Confirm_0_1,Отменить укладку
BuildCreate_Confirm_1,Разместить дверь
BuildCreate_Confirm_2_0,поднять обьект
BuildCreate_Confirm_2_1,разместить объект
BuildCreate_Confirm_3,разместить окна
BuildCreate_Confirm_Record,принять
BuildCreate_CreateGate,Установить городскую стену
BuildCreate_CreateWall,Установить стену
BuildCreate_Cross_-1,Выбрать Внешнее Оформление
BuildCreate_Cross_0,Выбрать Этаж
BuildCreate_Cross_1,Выбрать Дверь
BuildCreate_Cross_2,Выбрать Внутреннюю отделку
BuildCreate_Cross_3,Выбрать Окно
BuildCreate_Cross_4,Выбрать Крышу
BuildCreate_Cross_Record,Выбрать чертеж
BuildCreate_Gamepad_LeftTrigger,Настроить камеру
BuildCreate_MoveCamera,Переместить камеру
BuildCreate_Rotator,Поворот объекта
BuildCreater_BaseTile,Фундамент
BuildCreater_BaseType,Типы фундаментов
BuildCreater_Bluepoint,Сохранение чертежа
BuildCreater_CityWall,Городская стена
BuildCreater_CityWallType,Типы городских стен
BuildCreater_Compelete,Завершить проект
BuildCreater_Door,Дверь
BuildCreater_DoorType,Типы ворот
BuildCreater_Formula,<TipKey>Израсходовано материалов</>
BuildCreater_Furniture,Помещения
BuildCreater_FurnitureType,Помещения Типы
BuildCreater_Gate,Городские ворота
BuildCreater_GateType,Типы городских ворот
BuildCreater_InDoor,Внутренние ворота
BuildCreater_InDoorType,Типы внутренних ворот
BuildCreater_Last,Назад
BuildCreater_ModShowList,Чертеж MOD
BuildCreater_Out,Выйти
BuildCreater_Previous,Следующий
BuildCreater_ReadRecord,Прочитать Сохранить
BuildCreater_RecordNull,Пусто
BuildCreater_ReturnBuild,Вернуться к проекту
BuildCreater_Revoke,Отменить
BuildCreater_Roof,Крыша
BuildCreater_RoofType,Типы крыш
BuildCreater_SaveBuilding,Сохранить чертеж
BuildCreater_ShowList,Чертеж
BuildCreater_Tips,<BuildTipsWhite>Нажмите</><BuildTipsR> R</><BuildTipsWhite>
BuildCreater_Wall,Окно
BuildCreater_WallType,Типы окон
BuildNameDesolateHouse,Никому не принадлежит
BuildNameInBuilding,Здание
BuildNameMyHome,Мой
BuildNameWhoS,s*
BuildNameWhoSHouse,{0} — {1}
BuildRebuild_ConfirmDesc,"Восстановление вернет здание в исходное состояние, верните: {0}, хотите продолжить!"
Build_Deal_Cancel,Выйти из режима строительства
Build_Deal_Confirm,Доставить материалы
Build_Deal_Other_Item,строительные\\nматериалы
Cancel,Отмена
Cancel_1,Дай мне подумать
Characeter_Unload_Euqip,Удаление снаряжения
Character_Change_Skill_Page,Переключение пагинации
Character_Change_page,Переключить страницу
Character_Editor_Euqip,Заменить снаряжение
Character_Editor_NeiGong,Редактировать внутреннее Гонг
Character_Editor_Skill,Редактировать исследование
Character_Info,Изменить конфигурацию
Character_Moving_Cursor,Мобильный курсор
Character_Select_Euqip,Выбрать снаряжение
Character_Select_Info,Выбрать личную информацию
Character_Select_Skill,Выбрать исследование
Character_Select_SkillType,Выбирать Навыки
Character_Unload_Skill,Удаление обучения
Character_Use_Skill,Снаряжение
Character_View_Move,Просмотреть информацию о движении
Character_View_Prop,Просмотр атрибутов
Child_Inherit_Panel_1,Родительство
